1915 , 4 , 10 , 0 , 21.84 , 7.16
1915 , 4 , 11 , 0 , 20.67 , 7.01
1915 , 4 , 12 , 0.269 , 17.63 , 11.55
1915 , 4 , 13 , 0 , 18.89 , 6.99
1915 , 4 , 14 , 0.067 , 24.19 , 9.04
1915 , 4 , 15 , 0 , 23.95 , 7.21
1915 , 4 , 16 , 0 , 17.17 , 10.72
1915 , 4 , 17 , 0.696 , 18.12 , 10.47
1915 , 4 , 18 , 2.223 , 17.21 , 9.97
1915 , 4 , 19 , 0 , 17.85 , 10.52
1915 , 4 , 20 , 0 , 16.19 , 10.9
1915 , 4 , 21 , 0 , 15.71 , 9.29
1915 , 4 , 22 , 0 , 17.56 , 7.04
1915 , 4 , 23 , 0 , 16.29 , 7.45
1915 , 4 , 24 , 0.101 , 17.23 , 6.14
1915 , 4 , 25 , 2.729 , 14.96 , 9.72
1915 , 4 , 26 , 4.334 , 18.92 , 9.11
1915 , 4 , 27 , 0.719 , 18.89 , 11.72
1915 , 4 , 28 , 0 , 17.95 , 7.46
1915 , 4 , 29 , 0.348 , 17.89 , 11.31
1915 , 4 , 30 , 0.146 , 16.79 , 7.85
1915 , 5 , 1 , 0 , 13.78 , 7.44
1915 , 5 , 2 , 0.43 , 13.5 , 2.73
1915 , 5 , 3 , 12.165 , 13.88 , 4.82
1915 , 5 , 4 , 14.994 , 16.13 , 9.94
1915 , 5 , 5 , 1.732 , 19.13 , 8.64
1915 , 5 , 6 , 0 , 16.42 , 11.29
1915 , 5 , 7 , 0 , 18.45 , 10.92
1915 , 5 , 8 , 7.572 , 19.68 , 8.5
1915 , 5 , 9 , 22.523 , 16.28 , 12.73
1915 , 5 , 10 , 10.401 , 17.63 , 12.87
1915 , 5 , 11 , 13.295 , 16.73 , 13.53
1915 , 5 , 12 , 3.689 , 18.8 , 11.04
1915 , 5 , 13 , 0 , 19.29 , 7.94
1915 , 5 , 14 , 0 , 19.19 , 7.51
1915 , 5 , 15 , 0 , 24.38 , 7.9
1915 , 5 , 16 , 4.614 , 17.47 , 9.7
1915 , 5 , 17 , 9.67 , 17.17 , 11.56
1915 , 5 , 18 , 0 , 18.45 , 10.07
1915 , 5 , 19 , 0 , 19.6 , 8.45
1915 , 5 , 20 , 0 , 18.94 , 8.71
1915 , 5 , 21 , 0.129 , 20.19 , 9.86
1915 , 5 , 22 , 0 , 20.06 , 6.51
1915 , 5 , 23 , 3.614 , 15.95 , 9.68
1915 , 5 , 24 , 3.905 , 18.19 , 7.76
1915 , 5 , 25 , 0 , 20.65 , 6.89
1915 , 5 , 26 , 0 , 26.71 , 10.23
1915 , 5 , 27 , 0 , 31.1 , 15.42
1915 , 5 , 28 , 0 , 26.34 , 15.54
1915 , 5 , 29 , 0 , 24.95 , 8.49
1915 , 5 , 30 , 0 , 24.18 , 8.46
1915 , 5 , 31 , 0 , 24.84 , 6.81
1915 , 6 , 1 , 0 , 24.76 , 12.29
1915 , 6 , 2 , 0 , 26.56 , 8.31
1915 , 6 , 3 , 0 , 28.23 , 13.98
1915 , 6 , 4 , 0 , 29.76 , 14.78
1915 , 6 , 5 , 0 , 26.06 , 13.18
1915 , 6 , 6 , 0 , 25.05 , 11.59
1915 , 6 , 7 , 0 , 26.49 , 12.59
1915 , 6 , 8 , 0 , 28.23 , 10.53
1915 , 6 , 9 , 0 , 28.5 , 9.36
1915 , 6 , 10 , 0 , 25.7 , 10.17
1915 , 6 , 11 , 0 , 24.9 , 8.3
1915 , 6 , 12 , 0 , 26.52 , 8.54
1915 , 6 , 13 , 0 , 27.48 , 8.05
1915 , 6 , 14 , 0 , 26.33 , 9.58
1915 , 6 , 15 , 0 , 25.31 , 7.9
1915 , 6 , 16 , 0 , 27.53 , 9.31
1915 , 6 , 17 , 0 , 25.38 , 9.84
1915 , 6 , 18 , 0 , 23.17 , 10.99
1915 , 6 , 19 , 0 , 24.71 , 7.44
1915 , 6 , 20 , 0 , 26.2 , 7.33
1915 , 6 , 21 , 0 , 25.32 , 8.87
1915 , 6 , 22 , 0 , 23.28 , 10.21
1915 , 6 , 23 , 0 , 23.55 , 9.44
1915 , 6 , 24 , 0 , 23.76 , 10.73
1915 , 6 , 25 , 0 , 25.24 , 10.65
1915 , 6 , 26 , 0 , 27.62 , 11.49
1915 , 6 , 27 , 0 , 31.14 , 11.67
1915 , 6 , 28 , 0 , 30.01 , 10.97
1915 , 6 , 29 , 0 , 29.87 , 10.72
1915 , 6 , 30 , 0 , 27.68 , 11.77
1915 , 7 , 1 , 0 , 25.14 , 11.71
1915 , 7 , 2 , 0 , 23.16 , 12.6
1915 , 7 , 3 , 0 , 22.49 , 12.74
1915 , 7 , 4 , 0.844 , 22.23 , 13.45
1915 , 7 , 5 , 1.574 , 22.71 , 14.58
1915 , 7 , 6 , 0 , 29.25 , 12.34
1915 , 7 , 7 , 0 , 25.91 , 13.97
1915 , 7 , 8 , 0 , 26.85 , 13.97
1915 , 7 , 9 , 0 , 29.25 , 14.24
1915 , 7 , 10 , 0 , 31.01 , 11.74
1915 , 7 , 11 , 0 , 31.82 , 12.43
1915 , 7 , 12 , 0 , 29.54 , 13.99
1915 , 7 , 13 , 0 , 27.86 , 10.38
1915 , 7 , 14 , 0 , 29.31 , 11.51
1915 , 7 , 15 , 0 , 29.53 , 11.44
1915 , 7 , 16 , 0 , 36.5 , 12.75
1915 , 7 , 17 , 0 , 35.25 , 13.98
1915 , 7 , 18 , 0 , 29.49 , 12.47
1915 , 7 , 19 , 0 , 32.38 , 12.17
1915 , 7 , 20 , 0 , 35.16 , 11.71
1915 , 7 , 21 , 0 , 34.58 , 13.87
1915 , 7 , 22 , 0 , 34.33 , 14.86
1915 , 7 , 23 , 0 , 29.74 , 13.6
1915 , 7 , 24 , 0 , 31.39 , 12.63
1915 , 7 , 25 , 0 , 28.78 , 12.64
1915 , 7 , 26 , 0 , 27.41 , 11.41
1915 , 7 , 27 , 0 , 26.64 , 11.24
1915 , 7 , 28 , 0 , 26.78 , 10.17
1915 , 7 , 29 , 0 , 27.64 , 12.64
1915 , 7 , 30 , 0 , 29.3 , 11.35
1915 , 7 , 31 , 0 , 31.59 , 11.95
1915 , 8 , 1 , 0 , 33.52 , 11.39
1915 , 8 , 2 , 0 , 32.96 , 12.73
1915 , 8 , 3 , 0 , 32.27 , 12.01
1915 , 8 , 4 , 0 , 31.48 , 9.83
1915 , 8 , 5 , 0 , 29.68 , 9.96
1915 , 8 , 6 , 0 , 27.98 , 10.22
1915 , 8 , 7 , 0 , 28.03 , 10.93
1915 , 8 , 8 , 0 , 32.61 , 11.01
1915 , 8 , 9 , 0 , 33.5 , 10.88
1915 , 8 , 10 , 0 , 30.66 , 10.62
1915 , 8 , 11 , 0 , 30.11 , 12.21
1915 , 8 , 12 , 0 , 29.21 , 12.34
1915 , 8 , 13 , 0 , 27.98 , 11.8
1915 , 8 , 14 , 0 , 27.55 , 14.28
1915 , 8 , 15 , 0 , 27.17 , 13.55
1915 , 8 , 16 , 0 , 27.38 , 13.23
1915 , 8 , 17 , 0 , 33.24 , 12.32
1915 , 8 , 18 , 0 , 35.99 , 9.71
1915 , 8 , 19 , 0 , 34.7 , 11.79
1915 , 8 , 20 , 0 , 28.48 , 12.96
1915 , 8 , 21 , 0 , 26.51 , 13.68
1915 , 8 , 22 , 0.047 , 23.59 , 15.37
1915 , 8 , 23 , 0 , 24.77 , 15.75
1915 , 8 , 24 , 0 , 26.84 , 14.16
1915 , 8 , 25 , 0 , 28.89 , 15.53
1915 , 8 , 26 , 0 , 30.56 , 14.27
1915 , 8 , 27 , 0 , 37.88 , 12.17
1915 , 8 , 28 , 0 , 39.7 , 14.75
1915 , 8 , 29 , 0 , 36.28 , 15.05
1915 , 8 , 30 , 0 , 35.72 , 15.12
1915 , 8 , 31 , 0 , 30.57 , 12.52
1915 , 9 , 1 , 0 , 31.83 , 11.86
1915 , 9 , 2 , 0 , 32.9 , 12.83
1915 , 9 , 3 , 0 , 27.95 , 13.8
1915 , 9 , 4 , 0 , 26.73 , 12.7
1915 , 9 , 5 , 0 , 25.93 , 13.99
1915 , 9 , 6 , 0 , 27.51 , 14.12
1915 , 9 , 7 , 0 , 29.74 , 11.53
1915 , 9 , 8 , 0 , 32.06 , 10.34
1915 , 9 , 9 , 0 , 27.71 , 11.29
1915 , 9 , 10 , 0 , 24.78 , 14.08
1915 , 9 , 11 , 0 , 27.14 , 8.78
1915 , 9 , 12 , 0 , 25.52 , 7.31
1915 , 9 , 13 , 0 , 26.67 , 10.57
1915 , 9 , 14 , 0 , 28.79 , 9.23
1915 , 9 , 15 , 0 , 32.64 , 8.96
1915 , 9 , 16 , 0 , 31.8 , 9.87
1915 , 9 , 17 , 0 , 32.37 , 11.51
1915 , 9 , 18 , 0 , 34.5 , 9.55
1915 , 9 , 19 , 0 , 32.21 , 11.66
1915 , 9 , 20 , 0 , 26.96 , 10.17
1915 , 9 , 21 , 0 , 27.67 , 12.99
1915 , 9 , 22 , 0 , 30.16 , 7.51
1915 , 9 , 23 , 0 , 25.59 , 9.88
1915 , 9 , 24 , 0 , 27.53 , 10.83
1915 , 9 , 25 , 0 , 25.76 , 8.83
1915 , 9 , 26 , 0 , 23.19 , 12.95
1915 , 9 , 27 , 0 , 26.85 , 8.49
1915 , 9 , 28 , 0 , 31.65 , 7.65
1915 , 9 , 29 , 0 , 34.09 , 8.04
1915 , 9 , 30 , 0 , 33.76 , 8.89
1915 , 10 , 1 , 0 , 29.09 , 6.63
1915 , 10 , 2 , 0 , 31.38 , 6.25
1915 , 10 , 3 , 0 , 33.29 , 7.5
1915 , 10 , 4 , 0 , 35.08 , 6.61
1915 , 10 , 5 , 0 , 33.16 , 5.2
1915 , 10 , 6 , 0 , 28.38 , 6.18
1915 , 10 , 7 , 0 , 24.35 , 4.66
1915 , 10 , 8 , 0 , 25.29 , 5.46
1915 , 10 , 9 , 0 , 22.04 , 7.3
1915 , 10 , 10 , 0 , 23.25 , 5.8
1915 , 10 , 11 , 0 , 26.17 , 2.97
1915 , 10 , 12 , 0 , 27.49 , 2.39
1915 , 10 , 13 , 0 , 24.87 , 5.95
1915 , 10 , 14 , 0 , 27.14 , 9.38
1915 , 10 , 15 , 0 , 29.41 , 6.25
1915 , 10 , 16 , 0 , 27.01 , 6.54
1915 , 10 , 17 , 0 , 27.46 , 7.83
1915 , 10 , 18 , 0 , 23.14 , 7.71
1915 , 10 , 19 , 0 , 27.62 , 6.68
1915 , 10 , 20 , 0 , 25.82 , 4.36
1915 , 10 , 21 , 0 , 23.21 , 9.64
1915 , 10 , 22 , 0 , 22.69 , 8.64
1915 , 10 , 23 , 3.998 , 22.29 , 12.23
1915 , 10 , 24 , 0 , 24.91 , 8.23
1915 , 10 , 25 , 0 , 28.12 , 5.77
1915 , 10 , 26 , 0 , 27.77 , 6.35
1915 , 10 , 27 , 0 , 30.08 , 6.94
1915 , 10 , 28 , 0 , 31.01 , 6.56
1915 , 10 , 29 , 0 , 28.2 , 7.15
1915 , 10 , 30 , 0 , 22.7 , 9.89
1915 , 10 , 31 , 0 , 27.74 , 6.59
1915 , 11 , 1 , 0 , 26.5 , 7.77
1915 , 11 , 2 , 0 , 19.49 , 9.93
1915 , 11 , 3 , 0 , 18.91 , 11.03
1915 , 11 , 4 , 0 , 20.75 , 8.99
1915 , 11 , 5 , 0 , 21.41 , 6.35
1915 , 11 , 6 , 0 , 19.47 , 3.32
1915 , 11 , 7 , 0 , 17.85 , 0.12
1915 , 11 , 8 , 11.669 , 12.45 , 4.81
1915 , 11 , 9 , 4.561 , 11.21 , 6.24
1915 , 11 , 10 , 0.1 , 12.27 , 3.17
1915 , 11 , 11 , 0 , 14.3 , 2.84
1915 , 11 , 12 , 0 , 16.58 , 3.29
1915 , 11 , 13 , 0 , 18.1 , 5.23
1915 , 11 , 14 , 0 , 16.54 , 3.05
1915 , 11 , 15 , 0.481 , 14.95 , 2.83
1915 , 11 , 16 , 4.912 , 18.67 , 7.3
1915 , 11 , 17 , 0.03 , 19.16 , 3.93
1915 , 11 , 18 , 0.211 , 20.55 , 5.49
1915 , 11 , 19 , 0 , 18.85 , 5.86
1915 , 11 , 20 , 0 , 18.73 , 7.89
1915 , 11 , 21 , 0 , 18.31 , 7.43
1915 , 11 , 22 , 0 , 19.26 , 6.96
1915 , 11 , 23 , 1.073 , 14.46 , 8.86
1915 , 11 , 24 , 0.471 , 13.71 , 1.82
1915 , 11 , 25 , 1.043 , 15.58 , 6.08
1915 , 11 , 26 , 0.391 , 15 , 6.38
1915 , 11 , 27 , 0 , 16.32 , 1.48
1915 , 11 , 28 , 0 , 16.63 , 0.33
1915 , 11 , 29 , 0 , 17.69 , 5.28
1915 , 11 , 30 , 0 , 18.93 , 4.86
